user_id,username,rank_id,url_index,banner_url
629,Save The Dragons,68,2,https://forum.mafiascum.net/images/banners/pridegay4.png
36778,Searl,858,1,https://forum.mafiascum.net/images/banners/pridemlm.png
34879,Silverclaw,868,1,https://forum.mafiascum.net/images/banners/pridegay4.png
26092,SirCakez,803,1,https://i.postimg.cc/FR2YDjK7/momentofbrilliance.png
37761,Skelly,987,1,https://forum.mafiascum.net/images/banners/vqL4s3f.png
31604,Skygazer,723,1,https://i.postimg.cc/FRhWQqXn/mashterstroke.png
31604,Skygazer,723,2,https://forum.mafiascum.net/images/banners/prideace.png
37624,sloththeholy,949,1,https://i.ibb.co/Q0R0XBC/sloth.gif
37624,sloththeholy,949,2,https://forum.mafiascum.net/images/banners/pridebi1.png
26341,Spiffeh,569,1,https://forum.mafiascum.net/images/banners/pridegay4.png
28830,ssbm_Kyouko,914,1,https://forum.mafiascum.net/images/banners/pride5.png
28830,ssbm_Kyouko,914,2,https://forum.mafiascum.net/images/banners/pridelesbian.png
37942,Stormwarden,888,1,https://forum.mafiascum.net/images/banners/pridegay4.png
20972,Syryana,799,1,https://forum.mafiascum.net/images/banners/pridebi1.png
15310,T-Bone,719,1,https://i.postimg.cc/02gLW9tM/bestsg2.png
24426,Taly,910,1,https://forum.mafiascum.net/images/banners/pridemlm.png
24426,Taly,910,2,https://forum.mafiascum.net/images/banners/pridebigender.png
32406,TemporalLich,813,1,https://forum.mafiascum.net/images/banners/AHocrYl.png
36474,tenebrousluminary,886,1,https://forum.mafiascum.net/images/banners/pridemlm.png
37792,The Fool,950,1,https://forum.mafiascum.net/images/banners/pridegenderqueer.png
38297,The Snide Sniper,1040,1,https://i.ibb.co/yWjfM12/prideace.png
3467,Thestatusquo,846,1,https://forum.mafiascum.net/images/banners/clashbanner6.png
15112,Thomith,893,1,https://forum.mafiascum.net/images/banners/pridemlm.png
37297,Upwards,916,1,https://forum.mafiascum.net/images/banners/pridearoace.png
37297,Upwards,916,2,https://forum.mafiascum.net/images/banners/pridearo.png
16102,ValiliaRei,984,1,https://forum.mafiascum.net/images/banners/pridepan.png
29591,VashtaNeurotic,822,1,https://forum.mafiascum.net/images/banners/pridegay4.png
38006,villainous,1038,1,https://i.postimg.cc/T3fHJ6GD/scummiesrisingstar2.png
31772,volxen,750,1,https://i.postimg.cc/vTfcjc1m/whiteknihgt2.png
26964,worst,579,1,https://forum.mafiascum.net/images/banners/pridegay4.png
26964,worst,579,2,https://forum.mafiascum.net/images/banners/pridemlm.png
9173,xofelf,425,1,https://forum.mafiascum.net/images/banners/pridebi1.png
9173,xofelf,425,2,https://forum.mafiascum.net/images/banners/pridenb.png
34307,Ydrasse,801,1,https://forum.mafiascum.net/images/banners/pridebi1.png
12061,Ythan,1017,1,https://forum.mafiascum.net/images/banners/pridegay4.png
25119,ZOR TESTER,471,1,http://i.imgur.com/F5sJgSC.gif
